t_index,term,df
3090,domest,16
3091,domin,42
3092,dominican,1
3093,dominik,16
3094,dominikov,4
3095,dominion,2
3096,dominiqu,1
3097,domino,3
3098,don,210
3099,donald,35
3100,donaldson,2
3101,donat,19
3102,dong,1
3103,donkei,1
3104,donna,2
3105,donnel,3
3106,donor,11
3107,dooda,1
3108,doom,9
3109,door,55
3110,doorwai,2
3111,dopher,1
3112,dora,1
3113,dorcol,1
3114,doreen,1
3115,dori,1
3116,dormitori,1
3117,dorothi,3
3118,dose,1
3119,dostoyevski,1
3120,dot,3
3121,doubl,46
3122,doubt,52
3123,doudou,1
3124,doug,1
3125,dougal,9
3126,dougherti,2
3127,dougla,1
3128,dour,2
3129,dove,1
3130,dover,24
3131,dow,2
3132,down,4
3133,downbeat,1
3134,downfal,19
3135,downplai,3
3136,downpour,1
3137,downstair,2
3138,downtown,29
3139,dows,1
3140,doyal,1
3141,doze,1
3142,dozen,114
3143,dozo,1
3144,dpko,1
3145,dpmo,2
3146,dr,8
3147,draconian,2
3148,draft,16
3149,drag,15
3150,dragan,6
3151,dragana,1
3152,dragesa,1
3153,dragisha,1
3154,dragoljub,8
3155,dragomir,2
3156,dragon,2
3157,drain,8
3158,drama,13
3159,draman,15
3160,dramat,33
3161,drape,18
3162,draper,2
3163,draskov,4
3164,drastic,1
3165,draw,48
3166,drawn,17
3167,dread,1
3168,dream,20
3169,dress,24
3170,dresser,1
3171,drew,23
3172,drexel,1
3173,dri,7
3174,drift,3
3175,drill,8
3176,drink,13
3177,drip,1
3178,drissa,3
3179,drive,65
3180,driven,17
3181,driver,24
3182,drivewai,1
3183,drizzl,1
3184,drizzli,1
3185,drop,52
3186,drought,2
3187,drove,22
3188,drown,6
3189,drub,1
3190,drudg,1
3191,drug,41
3192,drugli,1
3193,drum,1
3194,drumbeat,2
3195,drummer,2
3196,drunk,3
3197,drunken,1
3198,dry,10
3199,drydock,1
3200,dtic,2
3201,du,1
3202,dual,1
3203,duan,1
3204,dub,3
3205,dubai,5
3206,dubiou,1
3207,duboc,1
3208,duc,7
3209,duck,4
3210,duct,6
3211,dudlei,12
3212,duel,3
3213,duffel,2
3214,duffi,4
3215,duffl,1
3216,dug,22
3217,duglon,1
3218,duguid,2
3219,duke,1
3220,dull,1
3221,duluth,1
3222,duma,1
3223,dump,12
3224,duo,1
3225,duopoli,1
3226,dupe,1
3227,duplic,1
3228,durango,2
3229,duress,1
3230,dusan,1
3231,dusk,2
3232,dust,13
3233,dusti,11
3234,dutch,3
3235,duti,27
3236,duval,1
3237,dwarf,1
3238,dwell,2
3239,dweller,3
3240,dwight,2
3241,dwindl,11
3242,dwyer,1
3243,dy,16
3244,dye,2
3245,dygalo,2
3246,dynam,4
3247,dynamit,8
3248,dynasti,1
3249,dysfunct,1
3250,e,16
3251,eager,18
3252,eagl,1
3253,eagleton,1
3254,eaker,1
3255,eant,1
3256,ear,7
3257,eardrum,2
3258,earli,181
3259,earlier,188
3260,earliest,7
3261,earmark,8
3262,earn,23
3263,earnest,5
3264,earshot,1
3265,earth,29
3266,earthmov,3
3267,earthquak,111
3268,eas,27
3269,easi,34
3270,easier,12
3271,easiest,2
3272,easili,25
3273,easlei,1
3274,east,128
3275,eastern,40
3276,eat,15
3277,eaten,3
3278,eavesdrop,1
3279,eb,3
3280,ebb,5
3281,ebri,1
3282,eccel,1
3283,echeverria,1
3284,echo,28
3285,eclips,2
3286,ecolog,1
3287,ecologist,1
3288,econolin,1
3289,econom,83
3290,economi,73
3291,economist,12
3292,ecstat,1
3293,ecuador,10
3294,ecuadorian,1
3295,ed,12
3296,edberg,1
3297,edg,49
3298,edgar,1
3299,edict,1
3300,edific,1
3301,edikipa,1
3302,edinburgh,1
3303,edit,16
3304,editor,16
3305,editori,16
3306,edmond,32
3307,edmund,25
3308,edmundo,1
3309,edt,13
3310,eduard,1
3311,eduardo,1
3312,educ,40
3313,edward,6
3314,edwardo,1
3315,edwin,2
3316,ee,3
3317,eeri,2
3318,eerili,1
3319,effect,76
3320,effici,4
3321,effort,185
3322,effortlessli,1
3323,egg,5
3324,egoavil,3
3325,egotist,2
3326,egregi,1
3327,egypt,26
3328,egyptian,31
3329,ehud,8
3330,ei,6
3331,eighteen,1
3332,eighth,22
3333,eighti,5
3334,eisenhow,3
3335,eject,2
3336,ekra,1
3337,el,74
3338,elabor,24
3339,elana,1
3340,elast,1
3341,elat,1
3342,elayn,1
3343,elbaum,1
3344,elbow,7
3345,elder,6
3346,elderli,5
3347,eldest,3
3348,elect,312
3349,elector,80
3350,electr,42
3351,electrician,3
3352,electrifi,1
3353,electrocut,1
3354,electron,11
3355,eleg,5
3356,element,21
3357,elementari,2
3358,elena,6
3359,elev,4
3360,elia,4
3361,eliac,1
3362,elier,1
3363,elig,10
3364,elimin,32
3365,elit,7
3366,elizabeth,7
3367,ellen,5
3368,elli,2
3369,elliot,2
3370,ellips,2
3371,ellipt,1
3372,ellwood,1
3373,eln,1
3374,elong,1
3375,elton,1
3376,elud,12
3377,elus,4
3378,em,2
3379,eman,1
3380,emanuel,1
3381,embargo,31
3382,embark,4
3383,embarrass,10
3384,embassi,118
3385,embattl,9
3386,embed,1
3387,embellish,1
3388,emblemat,1
3389,embrac,20
3390,embroil,1
3391,emerg,111
3392,emerson,2
3393,emigr,7
3394,emil,5
3395,emili,2
3396,emilio,2
3397,emin,2
3398,emir,7
3399,emiss,1
3400,emissari,1
3401,emit,1
3402,emkne,1
3403,emmanuel,3
3404,emot,42
3405,emotion,6
3406,empathet,1
3407,empathi,1
3408,emperor,4
3409,emphas,9
3410,emphasi,7
3411,emphat,5
3412,empir,6
3413,emploi,15
3414,employ,4
3415,employe,50
3416,empow,2
3417,empt,1
3418,emul,3
3419,en,32
3420,enabl,10
3421,enact,4
3422,encircl,1
3423,enclos,1
3424,encor,1
3425,encount,15
3426,encourag,33
3427,end,277
3428,endang,5
3429,endear,1
3430,endeavor,3
3431,endem,1
3432,endors,12
3433,endur,18
3434,enemi,46
3435,energ,3
3436,energet,1
3437,energi,29
3438,enforc,46
3439,engag,25
3440,engend,2
3441,engin,54
3442,engineerman,1
3443,engineman,1
3444,england,2
3445,english,18
3446,engrav,1
3447,engulf,7
3448,enhanc,5
3449,enigmat,1
3450,enjoi,19
3451,enjoin,1
3452,enlarg,4
3453,enlist,14
3454,enmesh,1
3455,enmiti,2
3456,enorm,27
3457,enqvist,1
3458,enrag,2
3459,enrich,1
3460,ensembl,2
3461,ensign,4
3462,ensnar,2
3463,ensu,9
3464,ensul,1
3465,ensur,34
3466,entail,1
3467,entangl,2
3468,enter,67
3469,enterpris,4
3470,entertain,5
3471,enthusiasm,8
3472,enthusiast,7
3473,entic,4
3474,entir,44
3475,entireti,1
3476,entiti,2
3477,entitl,6
3478,entomb,4
3479,entourag,3
3480,entranc,7
3481,entrench,2
3482,entrepreneur,2
3483,entrepreneuri,2
3484,entrepreneurship,5
3485,entri,3
3486,entrust,2
3487,envelop,1
3488,envi,1
3489,environ,8
3490,environment,11
3491,environmentalist,3
3492,envis,2
3493,envisag,1
3494,envoi,7
3495,epa,1
3496,epic,2
3497,epicent,31
3498,epidem,2
3499,epiphani,1
3500,episcop,3
3501,episod,2
3502,equal,20
3503,equanim,1
3504,equip,89
3505,equival,12
3506,er,2
3507,era,53
3508,eras,11
3509,erect,7
3510,erena,1
3511,eri,3
3512,eric,6
3513,erinson,1
3514,erlang,1
3515,ernesto,4
3516,erni,4
3517,erod,9
3518,eros,4
3519,err,1
3520,errand,1
3521,errat,8
3522,erron,3
3523,error,47
3524,erupt,18
3525,es,5
3526,esam,1
3527,escal,9
3528,escap,85
3529,escape,28
3530,escort,10
3531,escud,3
3532,especi,74
3533,espehello,1
3534,espi,6
3535,espionag,34
3536,espitia,1
3537,espo,1
3538,espous,1
3539,essai,3
3540,essenc,3
3541,essenti,16
3542,est,1
3543,establish,51
3544,estat,18
3545,estim,63
3546,estrada,1
3547,estrang,1
3548,et,3
3549,etar,1
3550,etat,7
3551,etcetera,1
3552,ethan,2
3553,ethic,7
3554,ethiopia,1
3555,ethnic,34
3556,ethnocentr,2
3557,etoge,1
3558,eu,8
3559,eucom,1
3560,eugen,4
3561,eulog,1
3562,eulogi,3
3563,euphor,1
3564,euphoria,6
3565,europ,50
3566,european,52
3567,ev,63
3568,evacu,24
3569,evad,7
3570,evalu,11
3571,evan,5
3572,evanel,1
3573,evapor,3
3574,evas,14
3575,evelyn,2
3576,even,64
3577,evenh,1
3578,evenhand,1
3579,evenli,5
3580,event,85
3581,eventu,45
3582,everett,1
3583,eversinc,1
3584,evert,11
3585,everybodi,20
3586,everydai,10
3587,evi,4
3588,evict,2
3589,evid,131
3590,evidenc,1
3591,evil,2
3592,evoc,1
3593,evok,1
3594,evolut,3
3595,ew,4
3596,ex,47
3597,exacerb,1
3598,exact,8
3599,exactli,37
3600,exagger,4
3601,exalt,1
3602,exam,4
3603,examin,49
3604,exampl,40
3605,exasper,2
3606,excav,12
3607,exce,4
3608,exceed,1
3609,exceedingli,1
3610,excel,5
3611,except,7
3612,excerpt,5
3613,excess,2
3614,exchang,23
3615,excit,9
3616,exclaim,1
3617,exclam,2
3618,exclud,20
3619,exclus,20
3620,exclusion,2
3621,exclusionari,1
3622,excruci,1
3623,excus,7
3624,execut,71
3625,exemplari,1
3626,exemplifi,1
3627,exempt,2
3628,exercis,22
3629,exhaust,26
3630,exhibit,3
3631,exhilar,1
3632,exhort,2
3633,exil,43
3634,exist,21
3635,exit,25
3636,exocet,1
3637,exodu,3
3638,exoner,1
3639,expand,18
3640,expans,5
3641,expatri,3
3642,expect,187
3643,expectantli,1
3644,expedi,2
3645,expedit,4
3646,expel,5
3647,expenditur,2
3648,expens,21
3649,experi,46
3650,experienc,8
3651,expert,118
3652,expertis,8
3653,expir,9
3654,explain,35
3655,explan,13
3656,explicit,4
3657,explicitli,6
3658,explod,43
3659,exploit,7
3660,explor,13
3661,explos,223
3662,export,22
3663,expos,8
3664,express,76
3665,expuls,1
3666,exquisit,1
3667,extend,38
3668,extens,34
3669,extent,27
3670,exterior,3
3671,extern,14
3672,extinct,2
3673,extinguish,2
3674,extol,2
3675,extort,4
3676,extra,21
3677,extract,6
3678,extradit,33
3679,extraordinari,12
3680,extraordinarili,2
3681,extravag,2
3682,extrem,21
3683,extremist,17
3684,extric,2
3685,exuber,1
3686,exud,1
3687,exult,1
3688,ey,62
3689,eyadema,1
3690,eyal,1
3691,eyebal,1
3692,eyelid,1
3693,eyesburn,1
3694,eyewit,10
3695,eyewitnesss,1
3696,f,26
3697,fa,3
3698,faa,1
3699,fabiani,1
3700,fabric,5
3701,facad,4
3702,face,186
3703,facial,1
3704,facil,45
3705,facilit,4
3706,fact,110
3707,factbook,4
3708,faction,13
3709,facto,2
3710,factor,23
3711,factori,20
3712,factual,1
3713,fade,24
3714,fadeyev,1
3715,fadhli,1
3716,fagan,1
3717,fahrenheit,1
3718,fail,115
3719,failur,16
3720,faint,6
3721,faintli,1
3722,fair,46
3723,fairfax,1
3724,fairleigh,1
3725,fairli,16
3726,faisal,1
3727,faith,9
3728,faithless,1
3729,fake,10
3730,fall,68
3731,fallen,27
3732,fallout,1
3733,faln,1
3734,fals,30
3735,falsif,1
3736,falsifi,5
3737,falter,4
3738,fame,6
3739,famer,1
3740,famili,213
3741,familiar,17
3742,famou,4
3743,fan,10
3744,fanci,1
3745,fanfar,2
3746,far,181
3747,farawai,3
3748,farc,2
3749,fare,1
3750,farera,1
3751,farewel,16
3752,farid,1
3753,farina,3
3754,farinella,1
3755,farm,9
3756,farmer,8
3757,farmington,1
3758,farrier,1
3759,farther,2
3760,farthest,2
3761,fascin,5
3762,fascist,3
3763,fashion,8
3764,faso,8
3765,fast,24
3766,faster,11
3767,fastest,2
3768,fat,2
3769,fatal,8
3770,fatalist,1
3771,fate,33
3772,father,76
3773,fatherless,1
3774,fatigu,7
3775,fatwa,1
3776,fault,29
3777,faulti,1
3778,favor,49
3779,favorit,14
3780,faw,1
3781,fax,14
3782,fay,1
3783,fayettevil,1
3784,fbi,113
3785,fda,1
3786,fear,109
3787,fearfulli,1
3788,fearless,4
3789,feasibl,4
3790,feast,1
3791,feat,8
3792,featur,19
3793,feb,2
3794,februari,3
3795,fed,15
3796,feder,138
3797,federalist,1
3798,federico,11
3799,fee,5
3800,feed,14
3801,feel,118
3802,feet,62
3803,fehn,2
3804,feign,1
3805,feingold,1
3806,feinstein,3
3807,felix,9
3808,fell,66
3809,fellow,39
3810,felon,4
3811,feloni,13
3812,felt,81
3813,femal,13
3814,feminist,1
3815,fenc,6
3816,fend,2
3817,ferdinand,1
3818,ferment,1
3819,fernand,5
3820,fernandez,1
3821,fernando,5
3822,feroci,1
3823,ferraro,1
3824,ferreira,3
3825,ferrer,1
3826,ferrero,12
3827,ferret,2
3828,ferri,4
3829,fertil,3
3830,fervor,5
3831,fest,1
3832,festiv,8
3833,fetch,1
3834,fever,6
3835,feverish,1
3836,fewer,17
3837,fewest,1
3838,fh,1
3839,fhimah,1
3840,fi,1
3841,fiance,1
3842,fiberglass,9
3843,fiction,2
3844,fictiti,3
3845,fidel,5
3846,fidelia,2
3847,fidget,2
3848,fiefdom,2
3849,field,49
3850,fierc,16
3851,fieri,3
3852,fierrera,1
3853,fife,2
3854,fifteenth,1
3855,fifth,37
3856,fifti,2
3857,fight,77
3858,fighter,15
3859,figur,93
3860,fijimori,1
3861,file,40
3862,filipov,1
3863,fill,41
3864,fillmor,1
3865,film,8
3866,filter,1
3867,filth,1
3868,final,199
3869,finalist,5
3870,financ,41
3871,financi,63
3872,find,71
3873,fine,43
3874,finest,5
3875,finger,13
3876,fingerprint,5
3877,fingertip,1
3878,finish,59
3879,finit,2
3880,fink,3
3881,finland,2
3882,finsburi,1
3883,fir,4
3884,fire,73
3885,firearm,12
3886,firebal,1
3887,firebomb,1
3888,firecrack,2
3889,firefight,6
3890,fireman,4
3891,firepow,2
3892,firerescu,1
3893,fireston,1
3894,firestorm,1
3895,firework,5
3896,firm,32
3897,firmer,1
3898,firmli,11
3899,first,1
3900,firstli,1
3901,fiscal,3
3902,fischer,2
3903,fish,10
3904,fisheri,1
3905,fisherman,2
3906,fishermen,5
3907,fissur,1
3908,fist,21
3909,fit,27
3910,fitcher,1
3911,fitter,1
3912,fittingli,1
3913,fitzgerald,7
3914,fix,16
3915,fizzl,1
3916,fl,1
3917,fla,17
3918,flabbergast,1
3919,flag,42
3920,flagrant,2
3921,flair,2
3922,flak,1
3923,flake,3
3924,flaku,3
3925,flame,9
3926,flank,6
3927,flare,3
3928,flash,3
3929,flashbulb,1
3930,flashlight,1
3931,flashpoint,3
3932,flat,13
3933,flatb,1
3934,flatli,1
3935,flatten,23
3936,flatter,1
3937,flatwar,1
3938,flaw,15
3939,flawless,2
3940,flawlessli,1
3941,flea,1
3942,fled,72
3943,fledg,1
3944,fledgl,2
3945,flee,36
3946,fleet,72
3947,fleischer,1
3948,flesh,2
3949,fletchal,1
3950,fletcher,4
3951,flew,33
3952,flex,1
3953,flexibl,2
3954,flfing,1
3955,fli,2
3956,flier,1
3957,flight,49
3958,flimsi,1
3959,fling,1
3960,flint,1
3961,flintoff,2
3962,flip,7
3963,float,15
3964,floater,1
3965,flood,38
3966,floodlight,1
3967,floodlit,2
3968,floor,38
3969,flop,4
3970,flore,15
3971,floresc,1
3972,florez,2
3973,florida,42
3974,florist,1
3975,floss,1
3976,flotilla,12
3977,flour,2
3978,flourish,3
3979,flow,10
3980,flower,8
3981,flown,44
3982,floyd,2
3983,fluctuat,1
3984,fluid,2
3985,flung,8
3986,fluorid,1
3987,flurri,4
3988,flush,1
3989,fluster,2
3990,fluti,1
3991,flux,1
3992,fly,48
3993,fm,1
3994,focu,44
3995,focus,45
3996,focuss,2
3997,foe,16
3998,fofana,2
3999,fog,11
4000,foggi,4
4001,foil,6
4002,fold,3
4003,folei,2
4004,folk,7
4005,folklor,1
4006,follow,216
4007,followup,1
4008,foment,3
4009,fond,2
4010,font,1
4011,food,61
4012,fool,2
4013,foolish,1
4014,foot,107
4015,footag,3
4016,footbal,10
4017,foothil,6
4018,foothold,6
4019,footnot,1
4020,footprint,1
4021,footstep,1
4022,footwear,1
4023,footwork,1
4024,forag,4
4025,forai,3
4026,forb,3
4027,forbid,1
4028,forbidden,2
4029,forc,366
4030,forcefulli,1
4031,forcep,1
4032,forcibl,2
4033,ford,11
4034,fore,2
4035,forebod,1
4036,forecast,8
4037,foreclos,1
4038,forefront,2
4039,forehand,15
4040,forehead,2
4041,foreign,191
4042,foremost,3
4043,forens,21
4044,forerunn,2
4045,forese,3
4046,foreseen,1
4047,forest,9
4048,foretast,1
4049,forev,9
4050,foreword,1
4051,forg,4
4052,forgav,1
4053,forgeri,1
4054,forget,12
4055,forgiv,7
4056,forgiven,1
4057,forgot,1
4058,forgotten,5
4059,fork,2
4060,form,95
4061,formal,42
4062,format,9
4063,formid,4
4064,formul,1
4065,formula,3
4066,fornl,1
4067,forsak,1
4068,fort,13
4069,forth,5
4070,fortifi,2
4071,fortitud,1
4072,fortnight,1
4073,fortress,1
4074,fortun,16
4075,forum,15
4076,forward,57
4077,foster,4
4078,fought,48
4079,foul,1
4080,found,15
4081,foundat,8
4082,founder,10
4083,fountain,1
4084,fourth,57
4085,fox,7
4086,foyer,2
4087,fpi,2
4088,fpt,1
4089,fr,1
4090,fraction,7
4091,fractiou,2
4092,fractur,9
4093,fragil,7
4094,fragment,9
4095,frai,4
4096,fraim,1
4097,frame,7
4098,framework,2
4099,franc,36
4100,franchis,1
4101,franci,6
4102,franciscan,2
4103,francisco,37
4104,francoi,1
4105,franjo,3
4106,frank,28
4107,frankfort,4
4108,frankfurt,9
4109,frankli,8
4110,frantic,20
4111,fraser,1
4112,frasur,1
4113,fraud,68
4114,fraudul,5
4115,fraught,3
4116,frazier,2
4117,fred,2
4118,freder,1
4119,fredericqu,1
4120,frederik,1
4121,free,119
4122,freed,22
4123,freedom,40
4124,freeh,25
4125,freeli,14
4126,freelli,1
4127,freepelti,2
4128,freer,2
4129,freewheel,1
4130,freez,2
4131,freight,2
4132,fremd,5
4133,fremont,2
4134,french,70
4135,frenchman,8
4136,frenchmen,1
4137,frenchwoman,2
4138,frenzi,3
4139,frequent,28
4140,fresh,18
4141,fresher,1
4142,freshman,5
4143,freshmen,1
4144,fresno,1
4145,friction,1
4146,fridai,216
4147,friend,80
4148,friendli,19
4149,friendship,6
4150,frigat,10
4151,frighten,21
4152,frigid,1
4153,frist,2
4154,frond,1
4155,front,2
4156,frontier,1
4157,frontlin,1
4158,frown,1
4159,froze,7
4160,frozen,4
4161,fruit,7
4162,fruition,1
4163,fruitless,1
4164,frustrat,40
4165,fry,1
4166,fsb,4
4167,ft,1
4168,fudg,1
4169,fuel,40
4170,fuerth,1
4171,fugazi,5
4172,fugimori,1
4173,fugit,73
4174,fujimori,62
4175,fulfil,5
4176,fullest,4
4177,fulli,37
4178,fume,1
4179,fun,2
4180,function,14
4181,functionari,2
4182,fund,72
4183,fundament,13
4184,fundamentalist,9
4185,fundrais,1
4186,funer,19
4187,funnel,3
4188,funni,2
4189,furi,5
4190,furiou,12
4191,furious,6
4192,furnish,2
4193,furnitur,6
4194,furor,2
4195,furrow,2
4196,furthermor,3
4197,furthest,1
4198,furtiv,2
4199,fuselag,1
4200,fuss,1
4201,futa,1
4202,futil,4
4203,futur,88
4204,futurist,1
4205,fuzzi,1
4206,g,14
4207,ga,52
4208,gabbi,1
4209,gabe,1
4210,gabon,2
4211,gabriel,1
4212,gadget,1
4213,gadhafi,1
4214,gaell,1
4215,gaff,1
4216,gafnei,1
4217,gag,1
4218,gagliardi,2
4219,gagnoa,4
4220,gai,13
4221,gaig,1
4222,gain,73
4223,gajar,1
4224,gal,1
4225,galapago,2
4226,gale,6
4227,galiardi,1
4228,gallup,3
4229,gallust,3
4230,galo,8
4231,galvan,2
4232,galvin,1
4233,gama,1
4234,gamaa,2
4235,gamarra,1
4236,gambler,2
4237,game,57
4238,gan,3
4239,gandhi,7
4240,gandhinagar,1
4241,gang,17
4242,gangster,2
4243,gantlet,1
4244,gap,12
4245,gape,16
4246,garag,6
4247,garbag,17
4248,garbl,4
4249,garcia,23
4250,garden,13
4251,gari,8
4252,garin,1
4253,garland,1
4254,garment,1
4255,garner,5
4256,garri,2
4257,garro,1
4258,garwood,3
4259,gase,1
4260,gash,4
4261,gasolin,2
4262,gasp,1
4263,gaston,1
4264,gate,17
4265,gatehous,2
4266,gatewai,2
4267,gather,90
4268,gatl,1
4269,gatorad,1
4270,gaudi,1
4271,gaug,4
4272,gauna,2
4273,gaur,1
4274,gautam,1
4275,gave,105
4276,gavel,1
4277,gavlak,1
4278,gawker,1
4279,gaza,16
4280,gaze,4
4281,gazett,1
4282,gazillion,1
4283,gbagbo,38
4284,gbessi,1
4285,gbgm,1
4286,gear,10
4287,gedda,1
4288,gedrif,1
4289,gee,1
4290,geeman,1
4291,gehman,10
4292,gejdenson,4
4293,gelu,1
4294,gen,77
4295,gendarm,2
4296,gene,2
4297,gener,230
4298,generos,2
4299,genex,1
4300,genocid,4
4301,genom,1
4302,genrikh,1
4303,gentl,1
4304,gentleman,1
4305,gentlemen,1
4306,gentli,6
4307,genuin,5
4308,geo,5
4309,geoff,1
4310,geofferi,1
4311,geoffrei,3
4312,geographi,1
4313,geolog,11
4314,geologist,2
4315,geopolit,1
4316,georg,117
4317,georgetown,1
4318,georgi,1
4319,georgia,9
4320,georgian,2
4321,gephardt,2
4322,gerald,1
4323,gerd,1
4324,gerhard,5
4325,gerin,1
4326,german,23
4327,germani,63
4328,germicid,1
4329,gerri,1
4330,gerstein,1
4331,gestapo,1
4332,gestur,21
4333,get,84
4334,getawai,7
4335,getter,1
4336,ghashmi,1
4337,ghee,1
4338,ghost,4
4339,gi,1
4340,giant,11
4341,gift,18
4342,gigant,1
4343,giggl,2
4344,gil,1
4345,gila,1
4346,gilbert,1
4347,gillespi,2
4348,gilman,1
4349,gilmor,2
4350,gimbel,1
4351,gina,1
4352,ginger,2
4353,gingerli,3
4354,girder,1
4355,girl,29
4356,girlfriend,3
4357,giuliani,12
4358,give,69
4359,given,115
4360,gizbert,3
4361,glad,11
4362,gladi,1
4363,gladkovich,1
4364,gladli,1
4365,glanc,5
4366,glascoff,1
4367,glaspi,3
4368,glass,20
4369,gleefulli,2
4370,glen,4
4371,glenni,2
4372,glimps,6
4373,glisten,1
4374,global,19
4375,globe,6
4376,glori,3
4377,gloria,1
4378,glorifi,1
4379,gloriou,2
4380,glove,4
4381,glow,3
4382,glue,4
4383,glum,1
4384,gmc,1
4385,gnassingb,1
4386,gnd,1
4387,go,233
4388,goal,19
4389,goate,1
4390,gobbl,1
4391,god,37
4392,goddess,1
4393,goe,33
4394,goggl,1
4395,goh,1
4396,goin,4
4397,gokool,1
4398,gold,15
4399,golden,4
4400,goldman,3
4401,goldsmith,3
4402,goldstein,4
4403,golf,4
4404,golfer,1
4405,goliath,1
4406,gone,74
4407,gonna,5
4408,good,206
4409,goodby,5
4410,goodwil,4
4411,gop,22
4412,goran,6
4413,gorbachov,1
4414,gordana,1
4415,gordi,3
4416,gordon,7
4417,gore,66
4418,gorgeou,1
4419,gorton,8
4420,gosh,1
4421,gossip,1
4422,gostran,1
4423,got,134
4424,gotten,11
4425,gov,77
4426,gove,1
4427,gover,1
4428,govern,352
4429,government,3
4430,governor,78
4431,gown,3
4432,grab,15
4433,grabbi,1
4434,grace,6
4435,graceless,1
4436,graciou,3
4437,grade,6
4438,grado,1
4439,gradual,9
4440,graduat,5
4441,graf,2
4442,graff,1
4443,graffiti,2
4444,graham,3
4445,grai,3
4446,grain,3
4447,graini,1
4448,gram,12
4449,gramm,3
4450,grammar,1
4451,grand,66
4452,grandchildren,2
4453,granddaught,4
4454,grandfath,2
4455,grandios,1
4456,grandma,1
4457,grandmaison,1
4458,grandmom,1
4459,grandmoth,5
4460,grandson,13
4461,granger,5
4462,granit,1
4463,grant,48
4464,grapevin,1
4465,graphic,2
4466,grappl,3
4467,grasp,7
4468,grasslei,1
4469,grate,17
4470,gratifi,3
4471,gratitud,4
4472,grave,22
4473,gravesid,2
4474,gravest,1
4475,gravi,1
4476,gravit,1
4477,graviti,1
4478,graze,1
4479,great,97
4480,greater,30
4481,greatest,17
4482,greatli,2
4483,greec,4
4484,greed,1
4485,greek,3
4486,green,18
4487,greenhous,1
4488,greenleaf,1
4489,greenwai,1
4490,greenwood,2
4491,greet,32
4492,greg,20
4493,gregor,4
4494,gregori,1
4495,gregorio,1
4496,grei,1
4497,grenad,11
4498,grenada,2
4499,greta,3
4500,grew,19
4501,grid,2
4502,gridlock,2
4503,grief,10
4504,griev,8
4505,grievanc,4
4506,griffith,1
4507,grim,18
4508,grimac,4
4509,grin,5
4510,grind,4
4511,grip,18
4512,grisli,2
4513,gritti,2
4514,groan,1
4515,groceri,2
4516,groh,1
4517,groom,1
4518,groov,2
4519,grope,1
4520,grosanc,1
4521,grosjean,17
4522,gross,2
4523,grotesqu,3
4524,ground,104
4525,groundbreak,1
4526,groundless,3
4527,groundstrok,12
4528,groundwork,3
4529,group,192
4530,grove,1
4531,grow,61
4532,grown,17
4533,growth,8
4534,grubac,2
4535,gruber,1
4536,grucci,3
4537,grudg,1
4538,grudgingli,1
4539,gruel,5
4540,gruesom,2
4541,grumbl,2
4542,gruntlik,4
4543,gu,1
4544,guadalup,2
4545,guarante,21
4546,guaranti,2
4547,guard,80
4548,guardao,2
4549,guardian,5
4550,guardsmen,2
4551,guatemala,23
4552,guatemalan,2
4553,gubernatori,3
4554,guei,38
4555,guerilla,4
4556,guerrilla,18
4557,guess,18
4558,guest,14
4559,guevara,1
4560,gui,33
4561,guid,26
4562,guidelin,11
4563,guido,1
4564,guie,3
4565,guillermo,1
4566,guilt,4
4567,guilti,41
4568,guinea,2
4569,guis,3
4570,gujarat,39
4571,gujarati,2
4572,gujral,1
4573,gulch,1
4574,gulf,94
4575,gull,1
4576,gullast,1
4577,gum,1
4578,gun,50
4579,gunboat,2
4580,gunfight,1
4581,gunfir,9
4582,gung,1
4583,gunman,2
4584,gunmen,1
4585,gunn,4
4586,gunrun,1
4587,gunshot,8
4588,gupta,2
4589,gurnei,1
4590,guru,1
4591,gustavo,17
4592,gut,4
4593,gutman,1
4594,guzman,2
4595,guzun,1
4596,gymnasium,3
4597,gyro,2
4598,gyrocompass,1
4599,gyroscop,3
4600,h,32
4601,ha,3
4602,haass,4
4603,habiar,1
4604,habib,1
4605,habit,2
4606,haddock,1
4607,hadhramaut,6
4608,hadi,1
4609,hadith,1
4610,hadn,7
4611,hadramaut,2
4612,hager,2
4613,hagerstown,2
4614,haggard,1
4615,haggl,1
4616,hagu,33
4617,hahdramaut,1
4618,hai,2
4619,haider,1
4620,haight,1
4621,hail,11
4622,haiphong,1
4623,hair,19
4624,hairbreadth,1
4625,hairstyl,5
4626,hairstylist,1
4627,haiti,1
4628,haitian,1
4629,hal,1
4630,hale,1
4631,halei,1
4632,halevi,2
4633,half,123
4634,halfwai,4
4635,haliberton,1
4636,hall,22
4637,halliburton,4
4638,hallwai,3
4639,halprin,15
4640,halt,22
4641,ham,2
4642,hama,9
4643,hamdi,1
4644,hamilton,5
4645,hammer,12
4646,hammerfest,1
4647,hammock,1
4648,hamper,15
4649,hampshir,4
4650,hampton,1
4651,hamstr,1
4652,hamza,2
4653,hancock,1
4654,hand,165
4655,handcount,1
4656,handcuf,3
4657,handgun,12
4658,handi,3
4659,handicap,1
4660,handili,1
4661,handl,38
4662,handler,1
4663,handov,4
4664,handpick,5
4665,handshak,3
4666,handsom,2
4667,handwritten,4
4668,hang,23
4669,hangar,4
4670,hanger,1
4671,hankei,1
4672,hanoi,39
4673,hanov,1
